Pedigree size range	(50, 100)	(100, 150)	(150, 200)	(200, 300)	(300, 400)	(400, 500)
Similarity of top 100 samples	0.5025800146335929	0.5260346038636303	0.5404312763518744	0.547215928350518	0.5516498715764379	0.5510261889430834
Similarity of top 100 samples	0.5028412306541548	0.5260416068287082	0.5405317871870675	0.5476297872850735	0.5529309212884976	0.5516402614294612
Similarity of top 100 samples	0.5028642046382077	0.5261571568394412	0.5405785035280416	0.548005905134521	0.5534114081388934	0.5519192536199142
Similarity of top 100 samples	0.5030688053617126	0.5262709413783381	0.5406559076046591	0.5482463479968441	0.5535190767891177	0.5526128568118777
Similarity of top 100 samples	0.5031462252322545	0.5264806324762004	0.540657292689192	0.548356420453507	0.5544631222653937	0.5526657755409874
Similarity of top 100 samples	0.5035031751120143	0.526553044480764	0.5406765321264941	0.5484530513424722	0.5546332215654011	0.5534152033069609
Similarity of top 100 samples	0.5035057234947964	0.5265781621397945	0.5407855384357655	0.5484594956532152	0.5550190940249315	0.5535172959380725
Similarity of top 100 samples	0.5036186526024655	0.5269699404770726	0.5418798379850847	0.5488056764206177	0.5550610350986205	0.5535620324161941
Similarity of top 100 samples	0.504145862558067	0.5271767117008801	0.5421034727349654	0.5488567625376628	0.5554115404532429	0.5542199067297802
Similarity of top 100 samples	0.5041462353937111	0.5271868869390269	0.5423552211232677	0.5491396898238834	0.5555853449937348	0.5545897898048175
Similarity of top 100 samples	0.5043322088478162	0.5273504403485869	0.5424890436543437	0.5491869031183936	0.5557087053139412	0.554722676920127
Similarity of top 100 samples	0.5044432336750589	0.5274548269330521	0.5426659797826994	0.5500394227377763	0.5559142660035408	0.5547340533944946
Similarity of top 100 samples	0.5048422931820964	0.5278673722317906	0.5426730793120084	0.5501345964694138	0.5563095198318015	0.5558092765732082
Similarity of top 100 samples	0.5050830727427384	0.5282515623244628	0.5430273519103632	0.5501590124678046	0.5568294084322145	0.5563362526309859
Similarity of top 100 samples	0.5056047102007104	0.5284129321325641	0.5432092409160243	0.5502067655485623	0.5570561819578428	0.5565193090457397
Similarity of top 100 samples	0.5059804947781452	0.5285828371321633	0.5437326922644923	0.5503451973590633	0.5574138763409281	0.5566759168851952
Similarity of top 100 samples	0.5063502793838404	0.5287372484795549	0.5437688768479525	0.5506553711510087	0.5575976131606413	0.5571622854876364
Similarity of top 100 samples	0.5064711195352916	0.5291134520602309	0.5438361455625815	0.550743600671088	0.5576769507447445	0.5572229839943202
Similarity of top 100 samples	0.5064805295710295	0.5292708208935504	0.543922763098438	0.5508589279845334	0.5577287165121652	0.55730748801286
Similarity of top 100 samples	0.5068443595071876	0.5294125539229718	0.5440987395292671	0.5514269075724634	0.5591373812361933	0.5575432537609654
Similarity of top 100 samples	0.5070594726157795	0.5294766231141396	0.5449019581998018	0.5515571466326715	0.559182521591967	0.557669948728346
Similarity of top 100 samples	0.507278522805413	0.5300350790968518	0.5450323135285307	0.5527668609977271	0.5596573333934596	0.5579353629547004
Similarity of top 100 samples	0.5075516232769213	0.5301507272914783	0.5454648281741905	0.5533193581481742	0.5603944743565203	0.5580323254310275
Similarity of top 100 samples	0.5078922025152202	0.5303216580485062	0.5467084842320105	0.5540210664898105	0.5609940997374845	0.5580335263096954
Similarity of top 100 samples	0.5080567491132992	0.5303480184711635	0.5470598968806507	0.5544294315125091	0.5614019580944105	0.5580360506654979
